  ip           p            cd           tb           mr           cap
  76.1210      118.000      7.51000      7.49000      10.4600      84.0000    
  76.3210      118.500      7.94000      7.75000      10.4320      84.2000    
  76.7560      119.000      8.35000      8.17000      10.5975      84.6000    
  76.5070      119.500      8.23000      8.09000      10.4800      84.3000    
  76.8600      119.900      8.36000      8.11000      10.3025      84.6000    
  77.0580      120.300      8.78000      8.48000      10.2650      84.7000    
  77.3370      120.700      9.25000      8.99000      10.6120      84.9000    
  77.5780      121.200      9.20000      9.05000      10.7300      85.1000    
  77.2010      121.600      9.51000      9.25000      10.6450      84.6000    
  77.4840      122.200      10.0900      9.57000      11.0320      84.7000    
  77.4740      123.100      9.94000      9.36000      11.0475      84.6000    
  76.9650      123.700      9.59000      8.98000      10.7725      83.9000    
  76.9250      124.100      9.20000      8.44000      10.1960      83.7000    
  76.1540      124.500      8.76000      7.89000      9.88250      82.7000    
  76.8220      124.500      8.64000      8.18000      9.98500      83.3000    
  76.6120      124.800      8.78000      8.22000      10.1260      82.9000    
  76.5090      125.400      8.60000      7.99000      9.95000      82.6000    
  76.6460      125.900      8.39000      7.77000      9.76750      82.6000    
  77.1720      126.300      8.32000      7.72000      9.74400      83.0000    
  76.7200      127.500      8.16000      7.92000      9.89500      82.4000    
  77.4350      128.000      8.22000      8.11000      10.1975      83.0000    
  77.8270      128.600      8.35000      8.35000      10.2680      83.2000    
  77.8150      128.900      8.42000      8.40000      10.3700      83.1000    
  77.8490      129.100      8.35000      8.32000      10.4775      83.0000    
  78.1380      129.900      8.23000      8.10000      10.1640      83.1000    
  77.9850      130.500      8.10000      7.94000      10.0350      82.8000    
  78.0840      131.600      7.97000      7.78000      10.1000      82.8000    
  78.1900      132.500      8.06000      7.76000      10.1750      82.8000    
  77.7090      133.400      8.06000      7.55000      10.1775      82.1000    
  76.7220      133.700      8.03000      7.31000      10.0140      81.0000    
  76.2350      134.200      7.82000      7.05000      9.67250      80.3000    
  75.9530      134.700      7.17000      6.64000      9.63750      79.9000    
  75.3870      134.800      6.52000      6.27000      9.36500      79.2000    
  74.9770      134.800      6.45000      6.40000      9.50000      78.6000    
  75.1560      135.100      6.06000      6.24000      9.49250      78.7000    
  75.9070      135.600      5.91000      6.13000      9.47200      79.4000    
  76.5700      136.000      6.07000      6.36000      9.61500      79.9000    
  76.6520      136.200      5.98000      6.31000      9.57500      79.9000    
  76.6000      136.600      5.65000      5.78000      9.24400      79.7000    
  77.2800      137.000      5.47000      5.57000      9.00750      80.3000    
  77.1500      137.200      5.33000      5.33000      8.85500      80.0000    
  76.9850      137.800      4.94000      4.89000      8.71200      79.8000    
  76.7230      138.200      4.47000      4.38000      8.49750      79.4000    
  76.2470      138.300      4.05000      4.15000      8.43200      78.7000    
  76.8550      138.600      4.07000      4.29000      8.76250      79.2000    
  77.4730      139.100      4.25000      4.63000      8.93500      79.8000    
  77.9520      139.400      4.00000      4.30000      8.85250      80.1000    
  78.2610      139.700      3.82000      4.19000      8.67200      80.3000    
  78.1960      140.100      3.86000      4.17000      8.51000      80.1000    
  78.8510      140.500      3.37000      3.60000      8.12800      80.6000    
  78.5720      140.800      3.31000      3.47000      7.97500      80.2000    
  78.7180      141.100      3.13000      3.18000      7.92250      80.2000    
  79.2320      141.700      3.26000      3.30000      8.08800      80.6000    
  79.6340      142.100      3.58000      3.68000      8.30500      80.9000    
  79.6820      142.300      3.48000      3.71000      8.22250      80.8000    
  79.9940      142.800      3.19000      3.50000      8.02200      81.0000    
  80.2440      143.100      3.12000      3.39000      7.68250      81.1000    
  80.3730      143.300      3.11000      3.33000      7.49500      81.1000    
  80.5720      143.800      3.09000      3.24000      7.47200      81.1000    
  80.2620      144.200      3.10000      3.36000      7.46500      80.7000    
  80.3970      144.300      3.21000      3.54000      7.41750      80.7000    
  80.7070      144.500      3.16000      3.47000      7.20600      80.9000    
  80.6070      144.800      3.14000      3.44000      7.11250      80.6000    
  81.1520      145.000      3.12000      3.36000      6.91500      81.0000    
  81.5870      145.600      3.24000      3.39000      6.83400      81.3000    
  81.9550      146.000      3.35000      3.58000      7.15500      81.6000    
  82.4400      146.300      3.26000      3.61000      7.17200      81.9000    
